analysis,assumption,estimate,se,ci_low,ci_high,diff_from_complete
complete,no induced missingness (benchmark),-0.03147190919212857,0.06844829593438335,-0.16562810402665934,0.10268428564240221,0.0
available_case,response-independent observed-data analysis,-0.05325508334160471,0.08102500638688898,-0.21206117770703498,0.10555101102382554,-0.021783174149476142
mi_rubin,MAR + correct longitudinal outcome model,-0.06450903219839094,0.10151038051506132,-0.2634657220648676,0.13444765766808572,-0.03303712300626237
ipw_gee,sequential MAR + correct response model,-0.03685953728345956,0.08807076752256547,-0.20947506971848776,0.13575599515156864,-0.00538762809133099
mi_under_mnar,MAR incorrectly imposed on MNAR missingness,-0.05985552728478557,0.09766291096179242,-0.2512713153952407,0.1315602608256696,-0.028383618092657
mi_delta_low,specified MNAR shift (means x 0.8),-0.07809048018177102,0.09407373971604413,-0.2624716219162128,0.10629066155267076,-0.04661857098964245
mi_delta_high,specified MNAR shift (means x 1.25),-0.06006361807887719,0.10446496120855801,-0.26481117969402473,0.14468394353627034,-0.02859170888674862
