analysis,term,estimate,robust_se,n_rows,n_subjects
complete,intercept,-2.813897713546746,0.6878015341210834,236,59
complete,treat,0.050275012298441994,0.2434739311963462,236,59
complete,period,-0.042805255686733004,0.05905894635792154,236,59
complete,treat_period,-0.03147190919212857,0.06844829593438335,236,59
complete,lbase1,1.26635739929676,0.15556139713211292,236,59
complete,age,0.020280426425190335,0.009697474320368148,236,59
available_case,intercept,-2.892263308198968,0.7026847324116482,207,59
available_case,treat,0.08785422295881765,0.24860025522136614,207,59
available_case,period,-0.03028339220812216,0.06785712903152864,207,59
available_case,treat_period,-0.05325508334160471,0.08102500638688898,207,59
available_case,lbase1,1.278165232036195,0.16046722046680184,207,59
available_case,age,0.02044558072522415,0.009322424412475664,207,59
mi_rubin,intercept,-2.918525019490579,0.7497954289810665,236,59
mi_rubin,treat,0.10092826683023706,0.27281533588195034,236,59
mi_rubin,period,-0.032699058080234614,0.0782021517965294,236,59
mi_rubin,treat_period,-0.06450903219839094,0.10151038051506132,236,59
mi_rubin,lbase1,1.2836586895979567,0.16705761300444477,236,59
mi_rubin,age,0.020716320282856342,0.00983626440645509,236,59
ipw_gee,intercept,-3.1188172776008627,0.7612744514601504,207,59
ipw_gee,treat,0.10781163499090796,0.26230644077724014,207,59
ipw_gee,period,-0.025139575577600826,0.06918154580093261,207,59
ipw_gee,treat_period,-0.03685953728345956,0.08807076752256547,207,59
ipw_gee,lbase1,1.3132632618413134,0.18359349808190725,207,59
ipw_gee,age,0.023035584764329323,0.010479398744334378,207,59
mi_under_mnar,intercept,-2.997958873664066,0.7411253656341832,236,59
mi_under_mnar,treat,0.12226978613142611,0.2679034180534516,236,59
mi_under_mnar,period,-0.044674321069436286,0.06544994823299635,236,59
mi_under_mnar,treat_period,-0.05985552728478557,0.09766291096179242,236,59
mi_under_mnar,lbase1,1.28459304783296,0.1661313659273692,236,59
mi_under_mnar,age,0.023304513409301942,0.010673652050204445,236,59
mi_delta_low,intercept,-2.8822110625319395,0.6944803343980999,236,59
mi_delta_low,treat,0.12292266244830578,0.2638322195650763,236,59
mi_delta_low,period,-0.044664431512857886,0.062049895277039635,236,59
mi_delta_low,treat_period,-0.07809048018177102,0.09407373971604413,236,59
mi_delta_low,lbase1,1.2761493050534254,0.16264726599621326,236,59
mi_delta_low,age,0.020923118836097838,0.009815405705094838,236,59
mi_delta_high,intercept,-2.9270006110649165,0.7184738915617207,236,59
mi_delta_high,treat,0.09818851632367467,0.27521731725041265,236,59
mi_delta_high,period,-0.013761317296590317,0.07026658316674295,236,59
mi_delta_high,treat_period,-0.06006361807887719,0.10446496120855801,236,59
mi_delta_high,lbase1,1.281622453383155,0.1628141777926124,236,59
mi_delta_high,age,0.020365173419682213,0.009622750253487784,236,59
